id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1447,7/24/06,7/24/06,,Eastern Time (US & Canada),169,flapack,2009-02-02 02:24:56 UTC,2018-07-02 20:13:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1447,https://inaturalist-open-data.s3.amazonaws.com/photos/1678/medium.jpg?1444492400,,,3,0,FALSE,,26.1894474,-80.09024811,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
287309,Sun Jun 02 2013 19:38:32 GMT-0400 (EDT),6/2/13,2013-06-02 23:38:32 UTC,Eastern Time (US & Canada),17364,daves,2013-06-03 18:58:01 UTC,2018-04-17 23:26:10 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/287309,https://inaturalist-open-data.s3.amazonaws.com/photos/355600/medium.jpg?1370285985,,,3,0,FALSE,,26.798122,-82.276696,5,5,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
289642,Wed Jun 05 2013 16:03:51 GMT-0400 (EDT),6/5/13,2013-06-05 20:03:51 UTC,Eastern Time (US & Canada),17364,daves,2013-06-05 20:04:39 UTC,2020-12-22 00:03:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/289642,https://inaturalist-open-data.s3.amazonaws.com/photos/358471/medium.jpg?1370462788,,,3,0,FALSE,,26.844044,-82.286104,9611,9611,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
297508,Fri Jun 07 2013 07:31:53 GMT-0400 (EDT),6/7/13,2013-06-07 11:31:53 UTC,Eastern Time (US & Canada),17364,daves,2013-06-12 21:34:02 UTC,2014-06-30 14:07:25 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/297508,,,,0,0,FALSE,,26.804404,-82.283981,272,272,,,FALSE,,,Common snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
297509,Fri Jun 07 2013 07:31:53 GMT-0400 (EDT),6/7/13,2013-06-07 11:31:53 UTC,Eastern Time (US & Canada),17364,daves,2013-06-12 21:35:38 UTC,2019-10-19 19:34:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/297509,https://inaturalist-open-data.s3.amazonaws.com/photos/367946/medium.jpg?1371072995,,,5,0,FALSE,,26.804404,-82.283981,272,272,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
317184,6/25/13,6/25/13,,Eastern Time (US & Canada),5245,kent_miller,2013-07-01 17:51:53 UTC,2018-07-03 23:20:47 UTC,research,CC-BY,http://www.inaturalist.org/observations/317184,https://inaturalist-open-data.s3.amazonaws.com/photos/393931/medium.JPG?1372701130,,,2,0,FALSE,,24.824026,-80.813678,933,933,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
507487,12/31/13,12/31/13,,Pacific Time (US & Canada),8706,howardfriedman1,2014-01-22 19:21:23 UTC,2016-04-14 15:06:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/507487,https://inaturalist-open-data.s3.amazonaws.com/photos/646063/medium.jpg?1390418492,,,1,0,FALSE,,28.798818,-82.587361,232,232,,,FALSE,,,Common snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
647613,12/24/13 12:30,12/24/13,2013-12-24 20:30:29 UTC,Pacific Time (US & Canada),36730,gantproductions,2014-04-29 00:06:02 UTC,2016-12-15 16:27:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/647613,https://inaturalist-open-data.s3.amazonaws.com/photos/816706/medium.JPG?1398730569,,,2,0,FALSE,,28.79006111,-82.60298889,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
695981,5/23/14,5/23/14,,Monterrey,36100,jose_colorado-dapa,2014-05-24 04:53:16 UTC,2020-11-25 17:47:54 UTC,research,CC-BY-SA,http://conabio.inaturalist.org/observations/695981,https://inaturalist-open-data.s3.amazonaws.com/photos/873451/medium.JPG?1400907201,,,6,0,FALSE,,23.773244,-97.738059,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
707746,Fri May 30 2014 15:11:55 GMT-0400 (EDT),5/30/14,2014-05-30 19:11:55 UTC,Eastern Time (US & Canada),17364,daves,2014-05-31 02:12:46 UTC,2018-04-17 23:23:59 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/707746,https://inaturalist-open-data.s3.amazonaws.com/photos/889373/medium.jpg?1401502372,,,3,0,FALSE,,26.775994,-82.267925,248,248,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
756152,6/23/14,6/23/14,,Central Time (US & Canada),32993,c_h_hemphill,2014-06-27 14:58:27 UTC,2014-06-30 16:21:23 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/756152,,,,0,0,FALSE,,25.076372,-77.304441,1468,1468,,,FALSE,,google,common snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
785487,7/14/14,7/14/14,,Central Time (US & Canada),9706,greglasley,2014-07-15 13:37:27 UTC,2020-12-22 00:08:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/785487,https://inaturalist-open-data.s3.amazonaws.com/photos/986999/medium.jpg?1405431450,,,5,0,FALSE,,26.468575,-82.106323,475,475,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
1072070,11/10/14 9:58,11/10/14,2014-11-10 14:58:14 UTC,Eastern Time (US & Canada),40796,thedude,2014-11-13 22:59:17 UTC,2020-12-22 00:08:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1072070,https://inaturalist-open-data.s3.amazonaws.com/photos/1343920/medium.JPG?1415919595,,,2,0,FALSE,,27.382633,-82.621086,204,204,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
1121261,Sat Dec 06 2014 10:31:24 GMT-0500 (EST),12/6/14,2014-12-06 15:31:24 UTC,Eastern Time (US & Canada),3518,jwhittle,2014-12-08 22:18:03 UTC,2020-12-22 00:08:52 UTC,research,CC-BY,http://www.inaturalist.org/observations/1121261,https://inaturalist-open-data.s3.amazonaws.com/photos/1409135/medium.jpg?1418077209,,,4,0,FALSE,3,26.641507,-82.178543,3301,3301,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
1196482,10/27/14,10/27/14,,Pacific Time (US & Canada),69903,ptrinh,2015-01-27 07:28:42 UTC,2020-12-22 00:09:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1196482,https://inaturalist-open-data.s3.amazonaws.com/photos/1511477/medium.JPG?1422343731,,,2,0,FALSE,,12.143792,-68.276385,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
1364598,4/4/15,4/4/15,,Pacific Time (US & Canada),8778,gyrrlfalcon,2015-04-04 20:38:59 UTC,2020-12-22 00:09:58 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1364598,https://inaturalist-open-data.s3.amazonaws.com/photos/1687931/medium.JPG?1428180351,,,1,0,FALSE,,26.942386,-82.041392,118,118,,,FALSE,,,Common snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
1447586,1/11/15,1/11/15,,Pacific Time (US & Canada),6971,silversea_starsong,2015-05-02 22:25:22 UTC,2018-08-25 01:44:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1447586,https://inaturalist-open-data.s3.amazonaws.com/photos/1801053/medium.JPG?1430710817,,,3,0,FALSE,,28.79932,-82.588225,9,9,,,FALSE,,manual,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
1673371,Thu Jun 18 2015 04:50:44 GMT-0500 (CDT),6/18/15,2015-06-18 09:50:44 UTC,Central Time (US & Canada),111379,cmus,2015-06-23 03:01:58 UTC,2020-12-22 00:10:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1673371,https://inaturalist-open-data.s3.amazonaws.com/photos/2036464/medium.jpg?1435028572,,,2,0,FALSE,3,26.742069,-82.258012,3181,3181,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
1745724,5/15/15 14:05,5/15/15,2015-05-15 18:05:35 UTC,Eastern Time (US & Canada),6075,fm5050,2015-07-11 21:46:40 UTC,2020-12-22 00:10:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1745724,https://static.inaturalist.org/photos/2117547/medium.jpg?1444686451,,,1,0,FALSE,,28.799329,-82.581911,411,411,,,FALSE,,manual,Common snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
2377744,9/13/92,9/13/92,,Pacific Time (US & Canada),16101,dpom,2015-11-13 20:51:05 UTC,2019-08-21 12:12:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2377744,https://inaturalist-open-data.s3.amazonaws.com/photos/2648713/medium.jpg?1447447881,,,4,0,FALSE,,25.055745,-80.686341,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
2450297,12/4/15,12/4/15,,Eastern Time (US & Canada),156476,juniorfriendsofmacarthurbeachstatepark,2015-12-04 20:31:56 UTC,2019-11-10 00:42:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2450297,https://inaturalist-open-data.s3.amazonaws.com/photos/2736870/medium.JPG?1449261143,,,2,0,FALSE,62,26.8195,-80.0415,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
2584891,Fri Jan 15 2016 12:05:23 GMT-0500 (EST),1/15/16,2016-01-15 17:05:23 UTC,Eastern Time (US & Canada),3494,damontighe,2016-01-16 02:51:51 UTC,2020-12-22 00:11:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2584891,https://inaturalist-open-data.s3.amazonaws.com/photos/2886994/medium.jpg?1452912720,,,1,0,FALSE,3,28.792695,-82.60730833,,,,,FALSE,,,Common snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
3188999,Mon May 16 2016 14:19:08 GMT-0400 (EDT),5/16/16,2016-05-16 18:19:08 UTC,Eastern Time (US & Canada),208884,grovegirl,2016-05-16 18:20:08 UTC,2016-10-05 16:23:08 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3188999,,,,0,0,FALSE,3,25.74348572,-80.2103534,239,239,,,FALSE,,,Common snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
3355984,5/26/16,5/26/16,,Eastern Time (US & Canada),246589,vimsia_wildlife,2016-06-01 14:18:10 UTC,2016-06-01 14:18:10 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3355984,,,,0,0,FALSE,,18.362957,-64.925938,252,252,,,FALSE,,,Common snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
3585082,Tue Jun 30 2015 17:27:04 GMT-0500 (CDT),6/30/15,2015-06-30 22:27:04 UTC,Central Time (US & Canada),224769,jairo_ortigoza,2016-07-02 04:31:28 UTC,2020-11-25 17:47:40 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/3585082,https://inaturalist-open-data.s3.amazonaws.com/photos/4157175/medium.jpg?1467433931,,,6,0,FALSE,3,22.10621217,-98.19434696,1044,1044,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
3590031,2016/06/22 9:21 AM EDT,6/22/16,2016-06-22 13:21:00 UTC,Eastern Time (US & Canada),5245,kent_miller,2016-07-02 13:38:38 UTC,2018-07-03 22:58:11 UTC,research,CC-BY,http://www.inaturalist.org/observations/3590031,https://inaturalist-open-data.s3.amazonaws.com/photos/4158826/medium.JPG?1467466430,,,3,0,FALSE,,24.82475149,-80.81335258,122,122,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
3829775,Sun Aug 07 2016 21:36:34 GMT-0400 (EDT),8/7/16,2016-08-08 01:36:34 UTC,Eastern Time (US & Canada),293426,ted16,2016-08-08 01:54:05 UTC,2020-07-21 12:02:44 UTC,casual,,http://www.inaturalist.org/observations/3829775,https://static.inaturalist.org/photos/4479489/medium.jpg?1470621254,,,3,0,FALSE,3,27.77929942,-82.66643202,65,65,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
